,classifier,n_features,train_time,accuracy,precision,recall,f1_score
0,decision_tree,21,0.2149848938,0.6468,0.6612,0.65,0.6555
1,decision_tree,15,0.157037735,0.6533,0.6737,0.6388,0.6558
2,decision_tree,10,0.1359946728,0.6567,0.6826,0.6282,0.6542
3,decision_tree,8,0.0799984932,0.6762,0.7052,0.6422,0.6722
4,decision_tree,5,0.0429985523,0.7154,0.721,0.7335,0.7272
5,decision_tree,3,0.0279984474,0.7201,0.7162,0.7599,0.7374
6,random_forest,21,0.8730425835,0.7329,0.7213,0.7878,0.7531
7,random_forest,15,0.8230369091,0.7323,0.7214,0.7859,0.7522
8,random_forest,10,0.81899786,0.7294,0.7235,0.7714,0.7467
9,random_forest,8,0.9570412636,0.731,0.7218,0.7808,0.7501
10,random_forest,5,0.7790026665,0.7211,0.7291,0.7328,0.731
11,random_forest,3,0.6220412254,0.7133,0.6997,0.7804,0.7378
12,k_nearest_neighbor,21,0.0399992466,0.6292,0.7175,0.4665,0.5654
13,k_nearest_neighbor,15,1.1269948483,0.6353,0.7257,0.4738,0.5733
14,k_nearest_neighbor,10,1.0040359497,0.6341,0.7254,0.4703,0.5706
15,k_nearest_neighbor,8,1.0400385857,0.6418,0.7323,0.4843,0.583
16,k_nearest_neighbor,5,0.8519980907,0.6312,0.7274,0.4588,0.5626
17,k_nearest_neighbor,3,0.6390395164,0.6166,0.6886,0.4717,0.5599
18,support_vector_machine,21,112.055999279,0.7472,0.7354,0.7984,0.7656
19,support_vector_machine,15,24357.0408656597,0.7472,0.7346,0.8003,0.766
20,support_vector_machine,10,78.5432560444,0.7409,0.7301,0.7914,0.7595
21,support_vector_machine,8,62.3480408192,0.7381,0.7277,0.7885,0.7569
22,support_vector_machine,5,63.539000988,0.7367,0.724,0.7931,0.757
23,support_vector_machine,3,63.4620392323,0.6873,0.6771,0.7555,0.7141
